TimePST:date::HH:mm a,TemperatureC:real,DewPointC:real,Humidity:real,SeaLevelPressurehPa:real,VisibilityKm:real,WindDirection:string,WindSpeedKmH:string,GustSpeedKmH:string,Precipitationmm:string,Events:string,Conditions:string,WindDirDegrees:real,DateUTC:date::yyyy-MM-dd HH:mm:ss
# http://www.wunderground.com/history/airport/KSFO/2014/2/1/DailyHistory.html?req_city=San%20Francisco%20International&req_state=CA&req_statename=California&reqdb.zip=94128&reqdb.magic=6&reqdb.wmo=99999
12:56 AM,8.9,4.4,74,1022.2,16.1,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-01 08:56:00
1:56 AM,6.7,2.2,73,1022.5,14.5,West,5.6,-,N/A,,Partly Cloudy,260,2014-01-01 09:56:00
2:56 AM,6.1,2.2,76,1022.5,16.1,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-01 10:56:00
3:56 AM,5.6,2.2,79,1022.2,14.5,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-01 11:56:00
4:56 AM,6.1,2.8,80,1021.7,14.5,Calm,Calm,-,N/A,,Clear,0,2014-01-01 12:56:00
5:56 AM,5.6,2.2,79,1021.9,12.9,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-01 13:56:00
6:56 AM,5.0,2.2,82,1022.1,16.1,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-01 14:56:00
7:56 AM,6.7,4.4,85,1022.5,12.9,Calm,Calm,-,N/A,,Scattered Clouds,0,2014-01-01 15:56:00
8:56 AM,8.3,5.0,80,1023.1,12.9,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-01 16:56:00
9:56 AM,10.0,5.6,74,1023.4,12.9,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-01 17:56:00
10:56 AM,10.6,6.1,74,1022.7,12.9,Calm,Calm,-,N/A,,Scattered Clouds,0,2014-01-01 18:56:00
11:56 AM,11.1,5.6,69,1021.9,12.9,NNE,5.6,-,N/A,,Mostly Cloudy,20,2014-01-01 19:56:00
12:56 PM,11.7,6.7,71,1021.3,12.9,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-01-01 20:56:00
1:56 PM,11.7,6.7,71,1020.4,12.9,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-01-01 21:56:00
2:56 PM,12.8,5.6,62,1020.5,14.5,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-01-01 22:56:00
3:56 PM,12.8,5.0,59,1020.3,16.1,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-01-01 23:56:00
4:56 PM,12.8,3.9,55,1020.3,16.1,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-01-02 00:56:00
5:56 PM,12.2,6.1,66,1020.4,16.1,West,13.0,-,N/A,,Mostly Cloudy,280,2014-01-02 01:56:00
6:56 PM,11.1,6.7,74,1020.8,16.1,West,5.6,-,N/A,,Scattered Clouds,270,2014-01-02 02:56:00
7:56 PM,11.1,6.1,71,1021.1,16.1,Calm,Calm,-,N/A,,Scattered Clouds,0,2014-01-02 03:56:00
8:56 PM,10.6,4.4,66,1021.1,16.1,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-02 04:56:00
9:56 PM,11.1,5.0,66,1021.0,16.1,Calm,Calm,-,N/A,,Clear,0,2014-01-02 05:56:00
10:56 PM,10.0,7.2,83,1021.3,16.1,Calm,Calm,-,N/A,,Clear,0,2014-01-02 06:56:00
11:56 PM,8.9,5.6,80,1021.2,16.1,Calm,Calm,-,N/A,,Clear,0,2014-01-02 07:56:00
12:56 AM,8.3,3.9,74,1021.0,16.1,Calm,Calm,-,N/A,,Clear,0,2014-01-02 08:56:00
1:56 AM,7.2,2.8,74,1021.3,16.1,Calm,Calm,-,N/A,,Clear,0,2014-01-02 09:56:00
2:56 AM,6.7,2.8,76,1021.2,16.1,SSW,5.6,-,N/A,,Clear,200,2014-01-02 10:56:00
3:56 AM,6.7,2.8,76,1021.0,16.1,South,5.6,-,N/A,,Clear,170,2014-01-02 11:56:00
4:56 AM,6.7,2.8,76,1020.8,16.1,SSW,7.4,-,N/A,,Clear,200,2014-01-02 12:56:00
5:56 AM,6.7,2.8,76,1020.9,16.1,Calm,Calm,-,N/A,,Clear,0,2014-01-02 13:56:00
6:56 AM,7.2,3.3,76,1020.9,16.1,Calm,Calm,-,N/A,,Clear,0,2014-01-02 14:56:00
7:56 AM,7.2,3.3,76,1021.0,16.1,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-02 15:56:00
8:56 AM,10.0,5.0,71,1021.6,16.1,Calm,Calm,-,N/A,,Scattered Clouds,0,2014-01-02 16:56:00
9:56 AM,11.7,6.1,69,1021.9,16.1,Calm,Calm,-,N/A,,Scattered Clouds,0,2014-01-02 17:56:00
10:56 AM,12.8,7.2,69,1021.7,16.1,North,5.6,-,N/A,,Scattered Clouds,360,2014-01-02 18:56:00
11:56 AM,13.9,3.9,51,1020.6,16.1,Calm,Calm,-,N/A,,Scattered Clouds,0,2014-01-02 19:56:00
