stationid,code,name
1,AMW,Ames
2,BRL,BURLINGTON
3,CID,CEDAR RAPIDS
4,DSM,DES MOINES
5,DBQ,DUBUQUE
6,EST,ESTHERVILLE
7,IOW,IOWA CITY
8,LWD,LAMONI
9,MIW,MARSHALLTOWN
10,MCW,MASON CITY
11,OTM,OTTUMWA
12,DVN,QUAD CITIES
13,SUX,SIOUX CITY
14,SPW,SPENCER
15,ALO,Waterloo
16,ALB,ALBANY COUNTY ARPT
17,BGM,BINGHAMTON/BROOME
18,HWV,BROOKHAVEN AIRPORT/SHIRLEY
19,BUF,BUFFALO INTL ARPT
20,N03,Courtland
21,DSV,DANSVILLE MUNICIPAL
22,DKK,DUNKIRK AIRPORT
23,HTO,EAST HAMPTON
24,ELM,ELMIRA/CORNING RGNL
25,FRG,FARMINGDALE/REPUBLC
26,GTB,FORT DRUM/WHEELER
27,GFL,GLEN FALLS/WARREN
28,RME,GRIFFISS AFB/ROME
29,ISP,ISLIP/MACARTHUR
30,ITH,Ithaca
31,JHW,JAMESTOWN (AWOS)
32,NY0,Johnstown
33,MSS,MASSENA/RICHARDS
34,MTP,MONTAUK AIRPORT
35,MSV,MONTICELLO(AWOS)
36,SWF,NEWBURGH/STEWART
37,NYC,NEW YORK CITY
38,JFK,NEW YORK/JF KENNEDY
39,LGA,NEW YORK/LA GUARDIA
40,IAG,NIAGARA FALLS INTL
41,OGS,OGDENSBURG INTL
42,OLE,Olean
43,MGJ,ORANGE COUNTY AIRPORT
44,FZY,OSWEGO COUNTY AIRPORT/FULTON
45,PEO,PENN YAN AIRPORT
46,PBG,PLATTSBURGH AFB 
47,PLB,PLATTSBURGH/CLINTON
48,POU,POUGHKEEPSIE
49,ROC,ROCHESTER/MONROE CO
50,SLK,SARANAC LAKE/ADIRON
51,SCH,SCHENECTADY AIRPORT
52,SYR,SYRACUSE/HANCOCK
53,UCA,UTICA/ONEIDA CO.
54,ART,WATERTOWN INTL ARPT
55,ELZ,WELLSVILLE MUNICIPAL AIRPORT
56,FOK,WESTHAMPTON BEACH
57,HPN,WHITE PLAINS
58,AAT,ALTURAS (WAS O00)
59,ACV,ARCATA/EUREKA ARPT
60,AUN,AURBURN MUNICIPAL AIRPORT
61,AVX,AVALON/CATALINA
62,BFL,BAKERSFIELD/MEADOWS
63,DAG,BARSTOW-DAGGETT
64,BAB,BEALE AFB/MARYSVILE
65,BYS,BICYCLE LAKE    
66,L35,Big Bear City
67,BIH,BISHOP AIRPORT
68,BLU,BLUE CANYON (AMOS)
